Meyrin 1,3
Mézières /fr,3
Miecourt,3
Miège,3
Misery,3
Missy,3
Moiry,3
Mollens /vd,3
Mollens /vs,3
Molondin,3
Mont-la-ville,3
Mont-sur-rolle,3
Mont-tramelan,3
Montcherand,3
Montet,3
Montfaucon,3
Montherod,3
Monthey,3
Montignez,3
Montpreveyres,3
Montreux,3
Montricher,3
Morges,3
Morlon,3
Morrens,3
Moudon,3
Moutier,3
Movelier,3
Murist,3
Nax,3
Neyruz,3
Nods,3
Noreaz,3
Noville,3
Nuvilly,3
Nyon,3
Ogens,3
Ollon,3
Onex,3
Onnens /vd,3
Oppens,3
Orbe,3
Orges,3
Orny,3
Orsieres,3
Orvin,3
Orzens,3
Oulens-echallens,3
Pailly,3
Palézieux-village,3
Pampigny,3
Paudex,3
Payerne,3
Penthalaz,3
Penthaz,3
Penthereaz,3
Perly-certoux,3
Perrefitte,3
Perroy,3
Péry,3
Peseux,3
Plagne,3
Plan-les-ouates,3
Pleigne,3
Poliez-pittet,3
Pompaples,3
Pomy,3
Pont-la-ville,3
Pontenet,3
Porrentruy,3
Prangins,3
Pregny-chambesy,3
Preles,3
Premier,3
Presinge,3
Preverenges,3
Prevonloup,3
Prez-vers-noreaz,3
Prilly,3
Provence,3
Puidoux,3
Puplinge,3
Rance,3
Randogne,3
Rebeuvelier,3
Reconvilier,3
Remaufens,3
Renan,3
Renens,3
Reverolle,3
Riaz,3
Riddes,3
Roche,3
Rochefort,3
Rocourt,3
Rolle,3
Romanel s/lausanne,3
Romanel-sur-morges,3
Romont/be,3
Romont/fr,3
Ropraz,3
Rossemaison,3
Rossens /fr,3
Rossiniere,3
Rougemont,3
Rovray,3
Rueyres (vd),3
Rueyres-les-pres,3
Russin,3
Saicourt,3
Saillon,3
Saint-aubin,3
Saint-barthelemy,3
Saint-blaise,3
Saint-brais,3
Saint-cergue,3
Saint-imier,3
Saint-legier,3
Saint-leonard,3
Saint-livres,3
Saint-martin /fr,3
Saint-martin /vs,3
Saint-maurice,3
Saint-oyens,3
Saint-prex,3
Saint-ursanne,3
Salavaux,3
Salins,3
Salvan,3
Satigny,3
Saubraz,3
Saulcy,3
Saviese,3
Savigny,3
Saxon,3
Sembrancher,3
Semsales,3
Servion,3
Sevaz,3
Severy,3
Sierre,3
Sion,3
Siviriez,3
Sonvilier,3
Soral,3
Sorens,3
Sorvilier,3
Sottens,3
Souboz,3
Soulce,3
